AftEvent,Desk,Trader,Book,BondID,Positions,NV
4500,HK,T3179669,HK30,B04712,757.0,1114304.0
4500,HK,T3179669,HK30,B16316,759.0,721809.0
4500,HK,T3179669,HK30,B17266,789.0,1012222.71
4500,HK,T3179669,HK30,B27558,295.0,987363.0
4500,HK,T3179669,HK30,B28659,945.0,818027.0
4500,HK,T3179669,HK30,B34105,738.0,780773.79
4500,HK,T3179669,HK30,B45918,510.0,315863.51
4500,HK,T3179669,HK31,B03283,231.0,139511.84
4500,HK,T3179669,HK31,B16316,164.0,155964.0
4500,HK,T3179669,HK31,B38589,98.0,71918.43
4500,HK,T3179669,HK31,B44611,575.0,818800.0
4500,HK,T3179669,HK31,B45214,166.0,244352.0
4500,HK,T3179669,HK31,B48886,630.0,509670.0
4500,HK,T3179669,HK32,B31214,355.0,236075.0
4500,HK,T3179669,HK32,B34105,653.0,690847.27
4500,HK,T3179669,HK33,B02473,476.0,324751.32
4500,HK,T3179669,HK33,B08521,835.0,1153307.16
4500,HK,T3179669,HK33,B23639,208.0,222231.58
4500,HK,T3179669,HK33,B38589,450.0,330237.7
4500,HK,T3179669,HK33,B45193,837.0,788035.5
4500,HK,T3179669,HK33,B45214,628.0,924416.0
4500,HK,T3179669,HK33,B45918,553.0,342495.13
4500,HK,T3800229,HK00,B02473,256.0,174656.17
4500,HK,T3800229,HK00,B16316,733.0,697083.0
4500,HK,T3800229,HK00,B17901,655.0,1071732.83
4500,HK,T3800229,HK00,B18694,892.0,714538.95
4500,HK,T3800229,HK00,B28659,602.0,521113.5
4500,HK,T3800229,HK00,B28917,108.0,92890.8
4500,HK,T3800229,HK00,B44611,444.0,632256.0
4500,HK,T3800229,HK01,B05609,704.0,1027136.0
4500,HK,T3800229,HK01,B08521,664.0,917120.91
4500,HK,T3800229,HK01,B11094,259.0,176867.63
4500,HK,T3800229,HK01,B28917,242.0,208144.2
4500,HK,T3800229,HK01,B38589,836.0,613508.27
4500,HK,T3800229,HK01,B44611,263.0,374512.0
4500,HK,T3800229,HK01,B45214,296.0,435712.0
4500,HK,T3800229,HK02,B05609,709.0,1034431.0
4500,HK,T3800229,HK02,B17266,788.0,1010939.79
4500,HK,T3800229,HK02,B18694,855.0,684900.0
4500,HK,T3800229,HK02,B27558,495.0,559845.0
4500,HK,T3800229,HK02,B45214,865.0,1273280.0
4500,HK,T3800229,HK02,B47982,739.0,390848.89
4500,HK,T3800229,HK02,B48886,512.0,414208.0
4500,HK,T3800229,HK03,B03283,1552.0,937326.32
4500,HK,T3800229,HK03,B18694,999.0,800251.58
4500,HK,T3800229,HK03,B25841,509.0,281257.49
4500,HK,T3800229,HK03,B28659,1214.0,1050883.36
4500,HK,T3800229,HK03,B31214,863.0,573895.0
4500,HK,T3800229,HK03,B35479,850.0,1244170.89
4500,HK,T3800229,HK03,B45193,290.0,273035.0
4500,HK,T3800229,HK03,B48886,495.0,400455.0
4500,HK,T3800229,HK04,B02473,594.0,405256.9
4500,HK,T3800229,HK04,B04712,836.0,1230592.0
4500,HK,T3800229,HK04,B05609,491.0,716369.0
4500,HK,T3800229,HK04,B11094,795.0,542894.85
4500,HK,T3800229,HK04,B18694,436.0,349258.95
4500,HK,T3800229,HK04,B25841,455.0,251418.77
4500,HK,T3800229,HK04,B27023,994.0,1490006.0
4500,HK,T3800229,HK04,B35479,955.0,1397862.59
4500,HK,T3800229,HK04,B35648,117.0,128292.67
4500,HK,T3800229,HK04,B45214,124.0,182528.0
4500,HK,T5727593,HK10,B17266,743.0,953208.46
4500,HK,T5727593,HK10,B18694,790.0,632831.58
4500,HK,T5727593,HK10,B25841,353.0,195056.76
4500,HK,T5727593,HK10,B38589,804.0,590024.7
4500,HK,T5727593,HK10,B45193,696.0,655284.0
4500,HK,T5727593,HK10,B47982,29.0,15337.78
4500,HK,T5727593,HK11,B02473,651.0,444145.19
4500,HK,T5727593,HK11,B10340,854.0,1019826.77
4500,HK,T5727593,HK11,B17901,585.0,957196.5
4500,HK,T5727593,HK11,B23639,648.0,692336.84
4500,HK,T5727593,HK11,B27023,526.0,788474.0
4500,HK,T5727593,HK11,B27558,717.0,810927.0
4500,HK,T5727593,HK11,B31538,616.0,746501.65
4500,HK,T5727593,HK11,B48886,280.0,226520.0
4500,HK,T5727593,HK12,B08521,718.0,991706.04
4500,HK,T5727593,HK12,B16316,110.0,104610.0
4500,HK,T5727593,HK12,B18694,912.0,730560.0
4500,HK,T5727593,HK12,B23639,600.0,641052.63
