Desk,Currency,Positions,NV
HK,AUZ,9263.0,13864736.6
HK,CNX,12592.0,16376248.87
HK,HKX,11865.0,8958937.01
HK,JPX,17537.0,20710779.75
HK,SGX,18087.0,15499595.17
HK,USX,12835.0,12024210.0
LON,AUZ,9580.0,15539329.09
LON,CNX,14926.0,18802456.26
LON,HKX,11077.0,8881311.75
LON,JPX,9632.0,12218433.71
LON,SGX,17138.0,14783707.15
LON,USX,16675.0,16689036.0
NY,AUZ,10351.0,15188636.61
NY,CNX,18795.0,24006026.71
NY,HKX,22870.0,17639306.32
NY,JPX,14978.0,16618635.47
NY,SGX,12192.0,11937581.78
NY,USX,19580.0,19299822.0
SG,AUZ,11028.0,16975237.47
SG,CNX,8364.0,10762609.37
SG,HKX,10119.0,8789912.44
SG,JPX,15078.0,19285915.22
SG,SGX,6991.0,6867705.17
SG,USX,13700.0,13655381.0
SYD,AUZ,3698.0,5954944.04
SYD,CNX,4200.0,5392019.35
SYD,HKX,3972.0,3565340.53
SYD,JPX,7537.0,8816623.79
SYD,SGX,9283.0,8410096.46
SYD,USX,4390.0,3271881.0
TOK,AUZ,16812.0,26833124.13
TOK,CNX,10054.0,13315328.38
TOK,HKX,16175.0,12708586.85
TOK,JPX,13157.0,15079531.47
TOK,SGX,10226.0,9333030.27
TOK,USX,13364.0,12333319.0
