Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,5901.0,6213904.03
HK,T3179669,HK31,1864.0,1784351.43
HK,T3179669,HK32,1008.0,1102521.77
HK,T3179669,HK33,5388.0,5539119.8
HK,T3800229,HK00,4456.0,4937312.74
HK,T3800229,HK01,5565.0,6007900.69
HK,T3800229,HK02,5602.0,5801341.83
HK,T3800229,HK03,7187.0,6803957.59
HK,T3800229,HK04,7003.0,7318344.03
HK,T5727593,HK10,3415.0,2963608.58
HK,T5727593,HK11,5739.0,6160422.11
HK,T5727593,HK12,3892.0,4031361.41
HK,T5727593,HK13,6870.0,6138236.92
HK,T5727593,HK14,7439.0,7585445.28
HK,T6189452,HK20,7400.0,7362156.6
HK,T6189452,HK21,5965.0,6305177.89
HK,T6189452,HK22,3441.0,3647334.03
HK,T6189452,HK23,2215.0,1698764.88
LON,T2121033,LON20,5576.0,6516140.17
LON,T2121033,LON21,6062.0,6534041.13
LON,T2121033,LON22,9986.0,9678224.56
LON,T2121033,LON23,2490.0,2509056.41
LON,T2121033,LON24,5132.0,4820068.65
LON,T2121033,LON25,6074.0,7058617.29
LON,T6326422,LON00,5601.0,6382183.75
LON,T6326422,LON01,2074.0,2245619.92
LON,T6326422,LON02,8052.0,8314575.25
LON,T6326422,LON03,3158.0,4201322.4
LON,T6326422,LON04,3887.0,3779535.48
LON,T7210244,LON10,5569.0,6688824.41
LON,T7210244,LON11,4433.0,3172256.23
LON,T7210244,LON12,7149.0,8835637.1
LON,T7210244,LON13,5156.0,4173010.44
LON,T7210244,LON14,4077.0,4281144.94
NY,T1087795,NY20,2140.0,2294130.97
NY,T1087795,NY21,2403.0,2204783.67
NY,T1087795,NY22,1258.0,1352587.0
NY,T1087795,NY23,7978.0,7835218.33
NY,T2078717,NY00,3451.0,3567280.97
NY,T2078717,NY01,2062.0,2111620.87
NY,T2078717,NY02,4345.0,5236922.21
NY,T2078717,NY03,3102.0,3361482.44
NY,T2078717,NY04,8422.0,8656622.02
NY,T4439875,NY40,3962.0,4353559.98
NY,T4439875,NY41,6998.0,6364535.39
NY,T4439875,NY42,4862.0,5636801.73
NY,T4439875,NY43,2638.0,2416603.67
NY,T4439875,NY44,2592.0,2416630.81
NY,T4848015,NY30,2985.0,2815822.82
NY,T4848015,NY31,2715.0,1975574.61
NY,T4848015,NY32,2557.0,3280870.15
NY,T4848015,NY33,4824.0,5142477.39
NY,T4848015,NY34,4028.0,3902173.03
NY,T4848015,NY35,5326.0,5693188.6
NY,T7375392,NY10,5206.0,3996335.84
NY,T7375392,NY11,3799.0,3869995.98
NY,T7375392,NY12,4730.0,5511785.22
NY,T7375392,NY13,6589.0,7933077.6
SG,T5983248,SG00,3002.0,3246877.76
SG,T5983248,SG01,5825.0,5960401.79
SG,T5983248,SG02,5534.0,6252052.98
SG,T5983248,SG03,4945.0,4700571.06
SG,T5983248,SG04,3833.0,3932502.22
SG,T5983248,SG05,4479.0,4480923.6
SG,T9277645,SG10,7943.0,8285095.47
SG,T9277645,SG11,7275.0,6752176.74
SG,T9277645,SG12,6616.0,7474673.6
SG,T9277645,SG13,7438.0,7498564.17
SG,T9277645,SG14,2695.0,2797758.38
SG,T9564084,SG20,2028.0,1967428.42
SG,T9564084,SG21,2612.0,2653442.81
SG,T9564084,SG22,4646.0,4970548.15
SG,T9564084,SG23,2762.0,2755371.89
SYD,T5521536,SYD10,2811.0,2486272.81
SYD,T5521536,SYD11,3880.0,3799622.94
SYD,T5521536,SYD12,4877.0,5764774.02
SYD,T5521536,SYD13,8695.0,8995565.87
SYD,T8621521,SYD00,2099.0,2213829.6
SYD,T8621521,SYD01,3902.0,3980005.29
SYD,T8621521,SYD02,5358.0,5618751.07
SYD,T8621521,SYD03,2303.0,2455593.29
TOK,T2697765,TOK00,3433.0,3366817.59
TOK,T2697765,TOK01,5296.0,5561135.36
TOK,T2697765,TOK02,7438.0,8370087.51
TOK,T2697765,TOK03,4086.0,5055857.68
TOK,T2697765,TOK04,5997.0,5859131.82
TOK,T3121807,TOK20,5209.0,5883426.68
TOK,T3121807,TOK21,7456.0,7756423.51
TOK,T3121807,TOK22,3897.0,3514815.53
TOK,T3121807,TOK23,1962.0,2231708.17
TOK,T3121807,TOK24,3131.0,3358960.45
TOK,T3121807,TOK25,2154.0,1904059.25
TOK,T3937126,TOK30,5493.0,6825070.29
TOK,T3937126,TOK31,1015.0,809204.43
TOK,T3937126,TOK32,4124.0,4854046.25
TOK,T3937126,TOK33,4313.0,5029227.19
TOK,T9108891,TOK10,5982.0,6320133.69
TOK,T9108891,TOK11,3573.0,3596823.93
TOK,T9108891,TOK12,9361.0,10196074.36
TOK,T9108891,TOK13,3359.0,3320123.04
