Desk,Trader,Book,BondID,Positions,NV
HK,T3800229,HK02,B47982,739.0,876428.69
HK,T3800229,HK03,B28659,841.0,857820.0
HK,T3800229,HK03,B31214,863.0,1139160.0
HK,T3800229,HK04,B18694,436.0,266473.64
HK,T3800229,HK04,B25841,455.0,492135.85
HK,T5727593,HK13,B18694,283.0,172963.4
HK,T5727593,HK13,B27023,371.0,268233.0
HK,T5727593,HK14,B28917,421.0,416369.0
HK,T5727593,HK14,B31214,162.0,213840.0
LON,T2121033,LON20,B18694,634.0,387486.9
LON,T2121033,LON22,B47982,986.0,1169362.23
LON,T6326422,LON02,B27558,875.0,713985.22
LON,T6326422,LON02,B45918,963.0,616417.63
LON,T7210244,LON13,B23639,878.0,726977.99
LON,T7210244,LON14,B34105,121.0,134915.0
NY,T1087795,NY23,B05609,368.0,453376.0
NY,T2078717,NY00,B04712,139.0,93547.0
NY,T2078717,NY02,B16316,398.0,421482.0
NY,T2078717,NY02,B17901,987.0,1169819.32
NY,T2078717,NY02,B48886,230.0,212520.0
NY,T2078717,NY04,B48886,220.0,203280.0
NY,T4439875,NY40,B04712,630.0,423990.0
NY,T4439875,NY41,B23639,550.0,455396.23
NY,T4439875,NY41,B31214,726.0,958320.0
NY,T4439875,NY42,B17901,965.0,1143744.32
NY,T4439875,NY44,B35648,648.0,591367.6
NY,T4848015,NY31,B45193,211.0,221761.0
NY,T4848015,NY33,B02473,556.0,458062.32
NY,T4848015,NY34,B05609,859.0,1058288.0
NY,T4848015,NY35,B23639,567.0,469472.12
NY,T7375392,NY11,B17266,950.0,924302.16
NY,T7375392,NY13,B27558,802.0,654418.45
SG,T5983248,SG00,B03283,362.0,510876.22
SG,T5983248,SG03,B23639,440.0,364316.99
SG,T9277645,SG10,B08521,224.0,297963.35
SG,T9277645,SG13,B10340,116.0,107597.82
SG,T9277645,SG13,B28917,442.0,437138.0
SG,T9277645,SG14,B03283,663.0,935665.56
SG,T9277645,SG14,B17266,559.0,543878.85
SG,T9564084,SG21,B10340,208.0,192934.02
SG,T9564084,SG21,B18694,119.0,72730.19
SG,T9564084,SG22,B08521,999.0,1328863.35
SYD,T5521536,SYD13,B31538,836.0,1748126.67
TOK,T2697765,TOK00,B04712,437.0,294101.0
TOK,T2697765,TOK01,B17901,131.0,155264.77
TOK,T2697765,TOK01,B28659,807.0,823140.0
TOK,T2697765,TOK02,B17901,448.0,530981.82
TOK,T3121807,TOK21,B05609,226.0,278432.0
TOK,T3121807,TOK21,B38589,836.0,710977.55
TOK,T3121807,TOK22,B27023,485.0,350655.0
TOK,T3121807,TOK22,B47982,689.0,817130.4
TOK,T3121807,TOK23,B02473,284.0,233974.28
TOK,T3121807,TOK24,B28659,858.0,875160.0
TOK,T3121807,TOK24,B45193,874.0,918574.0
TOK,T3937126,TOK30,B16316,968.0,1025112.0
TOK,T9108891,TOK10,B01774,130.0,170040.0
TOK,T9108891,TOK10,B34105,108.0,120420.0
