Desk,Currency,Positions,NV
HK,AUZ,1076.0,1141198.71
HK,CNX,873.0,584688.82
HK,HKX,867.0,588791.36
HK,JPX,1674.0,1400739.0
HK,SGX,1829.0,2526902.35
HK,USX,2390.0,1946555.0
LON,CNX,2049.0,1990800.86
LON,JPX,983.0,870514.38
LON,SGX,5180.0,7306983.79
LON,USX,629.0,735301.0
NY,AUZ,2780.0,3284207.2
NY,CNX,2025.0,1581803.27
NY,HKX,2324.0,2164967.94
NY,JPX,3291.0,3391769.56
NY,SGX,1774.0,1980200.78
NY,USX,1731.0,2336068.0
SG,AUZ,673.0,557933.07
SG,CNX,1223.0,1206969.76
SG,HKX,324.0,307285.9
SG,JPX,2926.0,3054773.33
SG,SGX,1584.0,1515330.8
SG,USX,839.0,475713.0
SYD,AUZ,836.0,769345.95
SYD,CNX,283.0,371296.0
SYD,USX,684.0,718884.0
TOK,AUZ,2120.0,2293055.14
TOK,CNX,1642.0,1632347.21
TOK,HKX,1446.0,1343655.78
TOK,JPX,1891.0,1347407.68
TOK,SGX,1765.0,2256221.28
TOK,USX,2133.0,2081208.0
