EventID,Desk,Trader,Book,BuySell,Quantity,BondID,Price,ExclusionType
2,NY,T2078717,NY02,buy,533.0,B35648,,NO_MARKET_PRICE
4,SYD,T8621521,SYD00,buy,555.0,B17266,,NO_MARKET_PRICE
5,LON,T6326422,LON04,buy,125.0,B38589,,NO_MARKET_PRICE
6,NY,T1087795,NY21,buy,531.0,B31538,,NO_MARKET_PRICE
7,HK,T5727593,HK11,buy,467.0,B34105,,NO_MARKET_PRICE
8,LON,T6326422,LON02,sell,703.0,B45918,,NO_MARKET_PRICE
17,NY,T4439875,NY44,sell,646.0,B45918,,NO_MARKET_PRICE
20,NY,T1087795,NY23,sell,681.0,B27558,,NO_MARKET_PRICE
27,TOK,T2697765,TOK02,sell,863.0,B27023,723.0,QUANTITY_OVERLIMIT
29,TOK,T3937126,TOK32,sell,745.0,B08521,,NO_MARKET_PRICE
31,LON,T6326422,LON04,sell,327.0,B35479,10479.75,QUANTITY_OVERLIMIT
36,NY,T1087795,NY20,buy,661.0,B18694,,NO_MARKET_PRICE
37,SYD,T5521536,SYD10,buy,402.0,B44611,,NO_MARKET_PRICE
38,NY,T1087795,NY22,sell,807.0,B02473,,NO_MARKET_PRICE
41,NY,T2078717,NY01,buy,772.0,B23639,,NO_MARKET_PRICE
55,SYD,T8621521,SYD03,buy,308.0,B48886,,NO_MARKET_PRICE
58,TOK,T3121807,TOK24,buy,591.0,B31538,,NO_MARKET_PRICE
61,LON,T6326422,LON04,sell,984.0,B45193,1996.52,QUANTITY_OVERLIMIT
63,SG,T9277645,SG13,buy,398.0,B23639,,NO_MARKET_PRICE
70,LON,T7210244,LON14,sell,614.0,B48886,,NO_MARKET_PRICE
74,LON,T7210244,LON14,sell,353.0,B45918,,NO_MARKET_PRICE
76,LON,T2121033,LON21,buy,678.0,B17266,,NO_MARKET_PRICE
77,SG,T5983248,SG02,sell,284.0,B47982,735.9,QUANTITY_OVERLIMIT
80,SG,T5983248,SG02,sell,141.0,B44611,,NO_MARKET_PRICE
81,SYD,T8621521,SYD03,sell,239.0,B04712,896.0,QUANTITY_OVERLIMIT
85,NY,T7375392,NY10,sell,434.0,B38589,,NO_MARKET_PRICE
86,NY,T4848015,NY34,sell,263.0,B16316,,NO_MARKET_PRICE
95,SYD,T5521536,SYD11,sell,315.0,B34105,,NO_MARKET_PRICE
97,NY,T7375392,NY10,buy,583.0,B17901,,NO_MARKET_PRICE
98,HK,T3179669,HK32,buy,475.0,B44611,,NO_MARKET_PRICE
99,TOK,T2697765,TOK00,buy,556.0,B08521,,NO_MARKET_PRICE
103,TOK,T3937126,TOK31,buy,164.0,B17266,,NO_MARKET_PRICE
109,SG,T5983248,SG00,buy,655.0,B03283,,NO_MARKET_PRICE
111,SG,T5983248,SG05,buy,220.0,B45918,,NO_MARKET_PRICE
114,TOK,T2697765,TOK04,buy,375.0,B45918,,NO_MARKET_PRICE
120,SG,T9277645,SG12,sell,813.0,B44611,,NO_MARKET_PRICE
123,SYD,T8621521,SYD00,sell,623.0,B25841,9982.71,QUANTITY_OVERLIMIT
128,LON,T6326422,LON03,sell,854.0,B25841,9982.71,QUANTITY_OVERLIMIT
130,HK,T3179669,HK33,buy,877.0,B45918,,NO_MARKET_PRICE
131,HK,T6189452,HK23,buy,917.0,B45214,,NO_MARKET_PRICE
132,SG,T5983248,SG04,sell,249.0,B05609,142664.0,QUANTITY_OVERLIMIT
137,LON,T6326422,LON02,sell,246.0,B10340,9476.14,QUANTITY_OVERLIMIT
138,NY,T4848015,NY34,sell,728.0,B47982,729.35,QUANTITY_OVERLIMIT
140,NY,T4439875,NY42,sell,959.0,B28917,1281.68,QUANTITY_OVERLIMIT
141,LON,T2121033,LON20,sell,942.0,B35479,6124.8,QUANTITY_OVERLIMIT
145,SG,T9564084,SG23,sell,478.0,B11094,,NO_MARKET_PRICE
147,HK,T6189452,HK22,sell,443.0,B27023,723.0,QUANTITY_OVERLIMIT
148,HK,T6189452,HK23,sell,894.0,B35648,107142.0,QUANTITY_OVERLIMIT
149,SYD,T8621521,SYD02,sell,171.0,B48886,,NO_MARKET_PRICE
151,TOK,T3937126,TOK32,sell,266.0,B47982,729.35,QUANTITY_OVERLIMIT
153,HK,T3800229,HK00,buy,407.0,B31538,,NO_MARKET_PRICE
154,TOK,T3121807,TOK25,buy,908.0,B44611,,NO_MARKET_PRICE
158,SYD,T5521536,SYD13,sell,208.0,B17901,,NO_MARKET_PRICE
