Desk,Trader,Book,Positions,NV
HK,T3179669,HK30,873.0,584688.82
HK,T3800229,HK00,655.0,823990.0
HK,T3800229,HK02,1860.0,2470849.49
HK,T3800229,HK03,1704.0,1556629.0
HK,T3800229,HK04,2009.0,1424795.55
HK,T5727593,HK13,654.0,520411.8
HK,T5727593,HK14,583.0,502536.71
HK,T6189452,HK20,371.0,304973.87
LON,T2121033,LON20,1065.0,1250290.08
LON,T2121033,LON22,986.0,1913549.92
LON,T2121033,LON23,211.0,141316.54
LON,T2121033,LON24,534.0,361518.0
LON,T2121033,LON25,607.0,665029.2
LON,T6326422,LON02,3306.0,3503993.72
LON,T7210244,LON11,449.0,508996.38
LON,T7210244,LON12,684.0,1327452.48
LON,T7210244,LON13,878.0,1131987.84
LON,T7210244,LON14,121.0,99465.87
NY,T1087795,NY20,319.0,363660.0
NY,T1087795,NY23,575.0,562846.91
NY,T2078717,NY00,796.0,702566.02
NY,T2078717,NY01,231.0,188265.0
NY,T2078717,NY02,2933.0,2927405.94
NY,T2078717,NY04,220.0,184674.29
NY,T4439875,NY40,237.0,736470.0
NY,T4439875,NY41,1276.0,1539648.0
NY,T4439875,NY42,1729.0,1957910.38
NY,T4439875,NY44,648.0,606355.2
NY,T4848015,NY31,211.0,227880.0
NY,T4848015,NY33,556.0,712831.71
NY,T4848015,NY34,859.0,836965.06
NY,T4848015,NY35,567.0,731021.76
NY,T7375392,NY11,1177.0,1380824.0
NY,T7375392,NY13,1591.0,1079692.48
SG,T5983248,SG00,362.0,288777.54
SG,T5983248,SG02,955.0,893625.33
SG,T5983248,SG03,1432.0,1698163.2
SG,T5983248,SG04,839.0,475713.0
SG,T9277645,SG10,224.0,221063.96
SG,T9277645,SG11,231.0,224901.6
SG,T9277645,SG13,558.0,443047.41
SG,T9277645,SG14,1222.0,1166153.66
SG,T9564084,SG20,420.0,393008.0
SG,T9564084,SG21,327.0,327646.36
SG,T9564084,SG22,999.0,985905.8
SYD,T5521536,SYD11,967.0,1090180.0
SYD,T5521536,SYD13,836.0,769345.95
TOK,T2697765,TOK00,437.0,510853.0
TOK,T2697765,TOK01,938.0,711137.0
TOK,T2697765,TOK02,448.0,563584.0
TOK,T3121807,TOK21,1542.0,1410472.18
TOK,T3121807,TOK22,1329.0,1694913.17
TOK,T3121807,TOK23,1090.0,1421580.29
TOK,T3121807,TOK24,1732.0,1524786.0
TOK,T3937126,TOK30,968.0,1017368.0
TOK,T3937126,TOK31,195.0,213642.0
TOK,T3937126,TOK32,527.0,281391.11
TOK,T9108891,TOK10,238.0,215347.46
TOK,T9108891,TOK12,1016.0,894635.74
TOK,T9108891,TOK13,537.0,494185.14
